_MEMBER_MyList,_LogP_MyList,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-2.8,GO:0035589,G protein-coupled purinergic nucleotide receptor signaling pathway,M1,1,0
1,-5.3,GO:0036293,response to decreased oxygen levels,M1,1,0
1,-2,GO:0051769,regulation of nitric-oxide synthase biosynthetic process,M1,1,0
1,-2.7,GO:0007628,adult walking behavior,M1,1,0
1,-8.9,GO:0048880,sensory system development,M1,1,0
1,-4.6,GO:0002431,Fc receptor mediated stimulatory signaling pathway,M1,1,0
1,-3.2,GO:0002698,negative regulation of immune effector process,M1,1,0
1,-10,GO:0010721,negative regulation of cell development,M1,1,0
1,-2.3,GO:0071320,cellular response to cAMP,M1,1,0
1,-2.9,GO:0033239,negative regulation of amine metabolic process,M1,1,0
1,-5.9,GO:0070372,regulation of ERK1 and ERK2 cascade,M1,1,0
1,-2.2,GO:0017158,regulation of calcium ion-dependent exocytosis,M1,1,0
1,-2.2,GO:0009167,purine ribonucleoside monophosphate metabolic process,M1,1,0
1,-2.2,GO:0007601,visual perception,M1,1,0
1,-3,GO:0009310,amine catabolic process,M1,1,0
1,-2.5,GO:0019722,calcium-mediated signaling,M1,1,0
1,-4.1,GO:0019471,4-hydroxyproline metabolic process,M1,1,0
1,-6.7,GO:0016125,sterol metabolic process,M1,1,0
1,-2.1,GO:0044598,doxorubicin metabolic process,M1,1,0
1,-4,GO:0021780,glial cell fate specification,M1,1,0
1,-7.4,GO:0050866,negative regulation of cell activation,M1,1,0
1,-6.3,GO:0072080,nephron tubule development,M1,1,0
1,-8.3,GO:0008202,steroid metabolic process,M1,1,0
1,-2.3,GO:0002313,mature B cell differentiation involved in immune response,M1,1,0
1,-6.3,GO:0001933,negative regulation of protein phosphorylation,M1,1,0
1,-6.9,GO:0031344,regulation of cell projection organization,M1,1,0
1,-2.5,GO:0050680,negative regulation of epithelial cell proliferation,M1,1,0
1,-2.9,GO:0045672,positive regulation of osteoclast differentiation,M1,1,0
1,-4.6,GO:0006575,cellular modified amino acid metabolic process,M1,1,0
1,-2.3,GO:0039531,regulation of cytoplasmic pattern recognition receptor signaling pathway,M1,1,0
1,-3.3,GO:0036230,granulocyte activation,M1,1,0
1,-2.3,GO:0072205,metanephric collecting duct development,M1,1,0
1,-2.1,GO:0001938,positive regulation of endothelial cell proliferation,M1,1,0
1,-5.9,GO:0043299,leukocyte degranulation,M1,1,0
1,-2.1,GO:0048534,hematopoietic or lymphoid organ development,M1,1,0
1,-2.1,GO:0010565,regulation of cellular ketone metabolic process,M1,1,0
1,-3,GO:0033194,response to hydroperoxide,M1,1,0
1,-3.7,GO:0009069,serine family amino acid metabolic process,M1,1,0
1,-3.4,GO:1903909,regulation of receptor clustering,M1,1,0
1,-2.8,GO:0014033,neural crest cell differentiation,M1,1,0
1,-3.5,GO:0030001,metal ion transport,M1,1,0
1,-4,GO:0098660,inorganic ion transmembrane transport,M1,1,0
1,-2.8,GO:0019058,viral life cycle,M1,1,0
1,-4.1,GO:0035296,regulation of tube diameter,M1,1,0
1,-7.7,GO:0072329,monocarboxylic acid catabolic process,M1,1,0
1,-4.1,GO:0060348,bone development,M1,1,0
1,-11,GO:0035239,tube morphogenesis,M1,1,0
1,-5.9,GO:0051962,positive regulation of nervous system development,M1,1,0
1,-6.8,GO:0050808,synapse organization,M1,1,0
1,-2.5,GO:0051651,maintenance of location in cell,M1,1,0
1,-2.1,GO:0006826,iron ion transport,M1,1,0
1,-5.4,GO:0002831,regulation of response to biotic stimulus,M1,1,0
1,-2.8,GO:1905155,positive regulation of membrane invagination,M1,1,0
1,-2.1,GO:1903010,regulation of bone development,M1,1,0
1,-5,GO:0050796,regulation of insulin secretion,M1,1,0
1,-3.1,GO:0034308,primary alcohol metabolic process,M1,1,0
1,-4.2,GO:0050862,positive regulation of T cell receptor signaling pathway,M1,1,0
1,-4.9,GO:0043087,regulation of GTPase activity,M1,1,0
1,-2.2,GO:0010737,protein kinase A signaling,M1,1,0
1,-3.3,GO:0014014,negative regulation of gliogenesis,M1,1,0
1,-2.9,GO:1903691,"positive regulation of wound healing, spreading of epidermal cells",M1,1,0
1,-4.5,GO:0097435,supramolecular fiber organization,M1,1,0
1,-2.3,GO:0001704,formation of primary germ layer,M1,1,0
1,-5.4,GO:0002886,regulation of myeloid leukocyte mediated immunity,M1,1,0
1,-9.1,GO:0002697,regulation of immune effector process,M1,1,0
1,-2.5,GO:0061035,regulation of cartilage development,M1,1,0
1,-8.2,GO:0002694,regulation of leukocyte activation,M1,1,0
